Variable,Normality,p_value,Skewness,Skew_Desc,Kurtosis,Kurt_Desc,Standardization
received_count,Not-normal,0.0,0.013569153548543036,Symmetric,-0.5428462945764596,Platykurtic,Min-Max
total_received_eth,Not-normal,0.0,2.760971432916887,Positively skewed,5.700394686346408,Leptokurtic,Box-Cox
sent_count,Not-normal,0.0,-0.004942120364672414,Symmetric,-0.3312576778517964,Platykurtic,Min-Max
total_sent_eth,Not-normal,0.0,2.572541008039894,Positively skewed,4.67470869738071,Leptokurtic,Box-Cox
type_dex,Not-normal,0.0,3.915864901849942,Positively skewed,13.333997929556869,Leptokurtic,Box-Cox
type_lending,Not-normal,0.0,5.3661293997795685,Positively skewed,26.79534473517995,Leptokurtic,Box-Cox
type_stablecoin,Not-normal,0.0,-0.11561124917978549,Symmetric,1.566260781887081,Platykurtic,Min-Max
type_yield_farming,Not-normal,0.0,13.75863298962713,Positively skewed,187.29998174324768,Leptokurtic,Box-Cox
type_nft_fi,Not-normal,0.0,179.67375241801935,Positively skewed,32280.65730797012,Leptokurtic,Box-Cox
curve_dao_count,Not-normal,0.0,8.386070492991301,Positively skewed,68.32617831341912,Leptokurtic,Box-Cox
aave_count,Not-normal,0.0,6.3051199592878495,Positively skewed,37.754537701010534,Leptokurtic,Box-Cox
tether_count,Not-normal,0.0,0.18632272811991518,Symmetric,-1.419957916582389,Platykurtic,Min-Max
uniswap_count,Not-normal,0.0,4.656234039752295,Positively skewed,19.6805154329484,Leptokurtic,Box-Cox
maker_count,Not-normal,0.0,10.683494357101683,Positively skewed,112.1370516782229,Leptokurtic,Box-Cox
yearn_finance_count,Not-normal,0.0,14.543863901161512,Positively skewed,209.52397717551935,Leptokurtic,Box-Cox
usdc_count,Not-normal,0.0,0.8889878044624541,Positively skewed,-1.1789821463568189,Platykurtic,Min-Max
dai_count,Not-normal,0.0,3.416671783834086,Positively skewed,9.673646119419994,Leptokurtic,Box-Cox
balancer_count,Not-normal,0.0,24.351976401112122,Positively skewed,591.0187546403204,Leptokurtic,Box-Cox
